"USERID","USERNAME","ISSUEDATE","DUEDATE","FINE","PASSWORD","BOOKID","RETURNDATE"
"201","megha","22-MAR-14","22-AUG-14","32","megha","103","23-SEP-14"
"1","m","12-JAN-13","14-JAN-13","1","m","102","15-JAN-13"
"222","hema","12-MAR-13","12-AUG-13","3","hema","104","15-AUG-13"
"333","manisha","01-FEB-14","01-JUL-14","0","manisha","105","12-SEP-14"
"33","mohith","13-FEB-14","13-JUL-14","0","mohith","106","11-SEP-14"
"601","meena","24-FEB-14","24-JUL-14","1","meena","107","25-JUL-14"
"602","munish","24-MAR-14","24-AUG-14","0","munish","108","30-OCT-14"
"602","munish","24-MAR-14","24-AUG-14","0","munish","108","29-OCT-14"
"700","sima","01-JAN-14","01-JUN-14","0","sima","324","10-JUL-14"
"701","komi","02-JAN-14","02-JUN-14","0","komi","300","10-JUL-14"
"702","shanu","18-JAN-14","18-JUN-14","0","shanu","401","10-JUL-14"
"703","vaishu","23-JAN-14","23-JUN-14","0","vaishu","605","29-JUL-14"
"70","mayu","26-FEB-14","26-AUG-14","0","mayu","604","29-DEC-14"
"800","kavi","30-MAR-14","30-AUG-14","0","kavi","603","29-DEC-14"
"901","mini","28-MAR-14","28-AUG-14","1","mini","505","29-AUG-14"
"300","mukesh","11-MAR-14","11-AUG-14","0","mukesh","999","29-DEC-14"
"721","babu","10-MAR-14","10-AUG-14","0","babu","991","29-DEC-14"
"711","balaji","10-APR-14","10-SEP-14","0","balaji","901","29-OCT-14"
"712","shanvi","09-APR-14","09-SEP-14","0","shanvi","913","29-OCT-14"
"713","prabha","09-MAY-14","09-OCT-14","0","prabha","914","29-OCT-14"
"714","amar","19-JUN-14","19-NOV-14","0","amar","915","29-OCT-14"
"715","pandi","19-JUL-13","19-DEC-13","0","pani","916","30-OCT-14"
"716","saravana","31-JUL-14","31-DEC-14","0","saravana","917","01-JAN-15"
"717","rema","31-JUL-14","31-DEC-14","0","rema","918","01-JAN-15"
"718","rani","30-JUL-14","30-DEC-14","0","rani","919","02-JAN-15"
